GroupLevel_0,GroupLevel_1,GroupLevel_2,Dataset,Size,Shape,DataType
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,VGP.412400, , , , , 
 , ,PR, , , , 
 , , ,value,1,"(1,)",float32
 ,VGP.412423, , , , , 
 , ,PR, , , , 
 , , ,value,1,"(1,)",float32
 ,VTUAwake2Fc, , , , , 
 , ,ModeAcq, , , , 
 , , ,pdcOutDelay,1,"(1,)",int16
 , ,NormalModeAcq, , , , 
 , , ,b_offline,1,"(1,)",int64
 ,VTUAwake2Frep, , , , , 
 , ,ModeAcq, , , , 
 , , ,pdcOutDelay,1,"(1,)",int16
 , ,NormalModeAcq, , , , 
 , , ,b_offline,1,"(1,)",int64
 ,VTUAwake3FT0, , , , , 
 , ,ModeAcq, , , , 
 , , ,pdcOutDelay,1,"(1,)",int16
 , ,NormalModeAcq, , , , 
 , , ,b_offline,1,"(1,)",int64
 ,VTUAwake3FT1, , , , , 
 , ,ModeAcq, , , , 
 , , ,pdcOutDelay,1,"(1,)",int16
 , ,NormalModeAcq, , , , 
 , , ,b_offline,1,"(1,)",int64
 ,VVGF.412400, , , , , 
 , ,StartCounterSt, , , , 
 , , ,value,1,"(1,)",int32
 , ,State, , , , 
 , , ,value,1,"(1,)",int16
 ,VVGF.412423, , , , , 
 , ,StartCounterSt, , , , 
 , , ,value,1,"(1,)",int32
 , ,State, , , , 
 , , ,value,1,"(1,)",int16
 ,XMPP-STREAK, , , , , 
 , ,StreakImage, , , , 
 , , ,streakImageBinning,1,"(1,)",|S5
 , , ,streakImageData,344064,"(344064,)",int32
 , , ,streakImageExposureTime,1,"(1,)",|S5
 , , ,streakImageHeight,1,"(1,)",int64
 , , ,streakImageInfo,1,"(1,)",|S2768
 , , ,streakImageMcpGain,1,"(1,)",int64
 , , ,streakImageMode,1,"(1,)",|S7
 , , ,streakImageProjection,512,"(512,)",float32
 , , ,streakImageTime,1,"(1,)",|S12
 , , ,streakImageTimeRange,1,"(1,)",|S4
 , , ,streakImageTimeValues,512,"(512,)",float64
 , , ,streakImageTrigLevel,1,"(1,)",float32
 , , ,streakImageWidth,1,"(1,)",int64
 ,XUCL-SPECTRO, , , , , 
 , ,BinningSetting, , , , 
 , , ,hbin,1,"(1,)",int32
 , , ,hend,1,"(1,)",int32
 , , ,hstart,1,"(1,)",int32
 , , ,readMode,1,"(1,)",int32
 , , ,vbin,1,"(1,)",int32
 , , ,vend,1,"(1,)",int32
 , , ,vstart,1,"(1,)",int32
 , , ,CameraAcq,1,(),|S93
CameraSettings, , , , , , 
 , , ,ddgGateDelay,1,"(1,)",int64
 , , ,ddgGateDelay_max,1,"(1,)",int64
 , , ,ddgGateDelay_min,1,"(1,)",int64
 , , ,ddgGateWidth,1,"(1,)",int64
 , , ,ddgGateWidth_max,1,"(1,)",int64
 , , ,ddgGateWidth_min,1,"(1,)",int64
 , , ,enableDDGIntelligate,1,(),bool
 , , ,enableFan,1,(),bool
 , , ,enableFastTrigger,1,(),bool
 , , ,exposureTime,1,"(1,)",float32
 , , ,mcpGain,1,"(1,)",int32
 , , ,mcpGain_max,1,"(1,)",int32
 , , ,mcpGain_min,1,"(1,)",int32
 , , ,preampGainIndex,1,"(1,)",int32
 , , ,preampGainIndex_max,1,"(1,)",int32
 , , ,preampGainIndex_min,1,"(1,)",int32
 , , ,targetShutDownTemperature,1,"(1,)",int32
 , , ,targetShutDownTemperature_max,1,"(1,)",int32
 , , ,targetShutDownTemperature_min,1,"(1,)",int32
 , , ,targetTemperature,1,"(1,)",int32
 , , ,targetTemperature_max,1,"(1,)",int32
 , , ,targetTemperature_min,1,"(1,)",int32
 , , ,triggerEdge,1,"(1,)",int32
 , , ,triggerTermination,1,(),bool
 , , ,triggerThreshold,1,"(1,)",float32
 , , ,CameraSettingsStatus,1,(),|S104
 , , ,ImageAcq,1,(),|S92
 ,awake.XAWAVS_BEAML_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
 ,awake.XAWAVS_DE_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
 ,awake.XAWAVS_DF_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
 ,awake.XAWAVS_DJ_PV236, , , , , 
 , ,StsReg01, , , , 
 , , ,value,1,"(1,)",int32
 ,awake.XAWAVS_UE_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
 ,awake.XAWAVS_UF_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
 ,awake.XAWAVS_UJ_PV136, , , , , 
 , ,StsReg01, , , , 
 , , ,value,1,"(1,)",int32
 ,awake.XAWAVS_VX_TT_AVG, , , , , 
 , ,PosSt, , , , 
 , , ,value,1,"(1,)",float64
AwakeEventInfo, , , , , , 
 , , ,configurationVersionNumber,1,(),int32
 , , ,eventNumber,1,(),int32
 , , ,runNumber,1,(),int32
 , , ,timestamp,1,(),int64
__DATA_TYPES__, , , , , , 
 ,Enum_Boolean, , , , , 
 ,String_VariableLength, , , , , 
